brand,model,processor_brand,processor_model,processor_generation,processor_cores,processor_threads,cpu_base_clock_ghz,cpu_boost_clock_ghz,gpu_brand,gpu_model,gpu_memory_gb,ram_gb,ram_type,ram_speed_mhz,storage_type,storage_capacity_gb,screen_size_inches,screen_resolution,refresh_rate_hz,panel_type,touchscreen,operating_system,battery_capacity_wh,weight_kg,release_year,warranty_years,webcam_resolution,wifi_version,bluetooth_version,keyboard_backlit,fingerprint_sensor,price_rupees
Dell,Latitude 5440,AMD,Ryzen 7 7735HS,3,8,16,3.2,4.75,AMD,Radeon 780M,0,16,DDR5,4800,NVMe SSD,1024,15.6,2560x1440,165,IPS,No,Windows 11 Home,46,1.3,2023,3,1080p,Wi-Fi 6,5.2,Yes,Yes,94990
Gigabyte,Aorus 15 BSF,Intel,Core i7-13620H,13,10,16,2.4,4.9,NVIDIA,GeForce RTX 5070,8,32,LPDDR5X,7467,SSD,1024,14.0,2880x1800,90,OLED,No,Windows 11 Pro,90,2.14,2022,3,1080p,Wi-Fi 6E,5.3,Yes,No,207990
Razer,Blade 16 2024,AMD,Ryzen 7 7735HS,3,8,16,3.2,4.75,NVIDIA,GeForce RTX 4080,12,32,LPDDR5X,7467,SSD,1024,13.6,2560x1664,60,IPS,No,Windows 11 Home,64,1.72,2022,1,1080p,Wi-Fi 6E,5.3,Yes,No,229990
ASUS,Zenbook Duo UX8406MA,Intel,Core Ultra 9 185H,1,16,22,2.3,5.1,Intel,Iris Xe Graphics,0,16,LPDDR5,6400,SSD,256,15.6,1920x1080,144,IPS,No,Windows 11 Pro,45,2.15,2023,1,1080p,Wi-Fi 7,5.4,Yes,Yes,113990
Microsoft,Surface Laptop 5 15,Intel,Core i5-1335U,13,10,12,1.3,4.6,Intel,Iris Xe Graphics,0,32,LPDDR5X,6400,NVMe SSD,4096,16.0,2560x1600,120,IPS,No,Windows 11 Home,78,2.31,2025,2,720p,Wi-Fi 6E,5.3,Yes,Yes,144990
Apple,MacBook Air M2 13,Apple,M3,3,8,8,4.05,4.05,Apple,Apple M3 10-core,0,8,LPDDR5,6400,SSD,2048,13.6,2560x1664,60,IPS,No,macOS Sequoia,93,1.31,2025,1,720p,Wi-Fi 7,5.4,Yes,Yes,118040
Samsung,Galaxy Book3 15,Intel,Core i5-13420H,13,8,12,2.1,4.6,Intel,Arc Graphics,0,32,LPDDR5X,6400,SSD,2048,15.6,1920x1080,60,IPS,No,Windows 11 Home,72,1.5,2024,3,1080p,Wi-Fi 6E,5.3,Yes,No,118990
MSI,Modern 14 C12M,Intel,Core i5-13450HX,13,10,16,2.4,4.6,NVIDIA,GeForce RTX 3050,6,32,DDR5,5600,SSD,2048,16.0,2560x1600,120,IPS,Yes,Windows 11 Pro,96,1.78,2024,1,1080p,Wi-Fi 6E,5.3,No,No,159990
Dell,Vostro 15 3520,Intel,Core i7-1260P,12,12,16,1.5,4.7,NVIDIA,GeForce RTX 4050,6,16,LPDDR5,6400,NVMe SSD,1024,15.6,1920x1080,60,IPS,Yes,Windows 11 Home,91,1.33,2023,2,1080p,Wi-Fi 6,5.2,Yes,Yes,123990
MSI,Stealth 14 Studio A13VE,Intel,Core Ultra 7 155H,1,16,22,1.4,4.8,Intel,Arc Graphics,0,16,DDR5,4800,NVMe SSD,512,15.6,1920x1080,144,IPS,Yes,Windows 11 Home,86,1.92,2024,1,720p,Wi-Fi 6E,5.3,No,Yes,101990
Microsoft,Surface Laptop Go 3,Intel,Core i5-13420H,13,8,12,2.1,4.6,Intel,Iris Xe Graphics,0,16,DDR5,5200,SSD,1024,15.6,1920x1080,60,IPS,Yes,Windows 11 Home,82,1.5,2024,1,1080p,Wi-Fi 6E,5.3,Yes,No,80990
Razer,Blade 16 2024,AMD,Ryzen 7 7840HS,4,8,16,3.8,5.1,NVIDIA,GeForce RTX 5070,8,8,DDR4,3200,SSD,256,14.0,2880x1800,120,OLED,No,Windows 11 Home,71,1.74,2023,1,720p,Wi-Fi 6E,5.3,Yes,No,158990
Acer,Swift X 14 SFX14-71G,Qualcomm,Snapdragon X Elite X1E-80-100,1,12,12,3.4,4.0,Qualcomm,Adreno X1-45,0,16,LPDDR5,6400,SSD,1024,14.0,2880x1800,90,OLED,Yes,Windows 11 Pro,44,2.4,2024,1,1080p,Wi-Fi 7,5.4,Yes,Yes,122990
Gigabyte,G5 KF,AMD,Ryzen 3 7320U,3,4,8,2.4,4.1,AMD,Radeon 740M,0,8,DDR4,3200,NVMe SSD,1024,14.0,2880x1800,90,OLED,No,Windows 11 Home,81,1.6,2022,3,1080p,Wi-Fi 6E,5.3,Yes,No,49990
Microsoft,Surface Laptop Studio 2,Intel,Core i7-1260P,12,12,16,1.5,4.7,Intel,Iris Xe Graphics,0,16,LPDDR5,5200,SSD,2048,15.6,1920x1080,60,IPS,Yes,Windows 11 Pro,75,1.68,2024,1,1080p,Wi-Fi 7,5.4,Yes,Yes,109990
Lenovo,IdeaPad Slim 5 16IRL8,Intel,Core i5-1335U,13,10,12,1.3,4.6,Intel,Arc Graphics,0,32,LPDDR5X,7467,SSD,2048,17.3,1920x1080,144,IPS,No,Windows 11 Home,85,2.51,2023,3,1080p,Wi-Fi 6,5.2,Yes,Yes,114990
Razer,Blade 14 2023,Intel,Core i7-13620H,13,10,16,2.4,4.9,NVIDIA,GeForce RTX 5050,8,32,LPDDR5X,7467,SSD,512,16.0,2560x1600,120,IPS,No,Windows 11 Home,89,2.01,2022,1,1080p,Wi-Fi 6,5.2,Yes,Yes,170990
Lenovo,V15 G4,Intel,Core i5-13420H,13,8,12,2.1,4.6,Intel,Iris Xe Graphics,0,16,DDR5,4800,SSD,2048,15.6,2560x1440,165,IPS,No,Windows 11 Home,56,1.26,2025,1,1080p,Wi-Fi 6E,5.3,Yes,Yes,85990
Infinix,InBook X2 Slim,Intel,Core i5-1235U,12,10,12,1.3,4.4,Intel,Iris Xe Graphics,0,32,LPDDR5X,7467,NVMe SSD,512,16.0,2880x1800,120,OLED,No,Windows 11 Home,70,2.44,2023,1,1080p,Wi-Fi 7,5.4,No,Yes,90990
MSI,Pulse 15 B13VGK,Intel,Core Ultra 7 155H,1,16,22,1.4,4.8,Intel,Iris Xe Graphics,0,24,DDR5,4800,NVMe SSD,1024,16.0,2560x1600,165,IPS,Yes,Windows 11 Home,89,1.85,2024,3,1080p,Wi-Fi 7,5.4,Yes,Yes,137990
Huawei,MateBook D15 2023,Intel,Core i3-1215U,12,6,8,1.2,4.4,Intel,Iris Xe Graphics,0,32,LPDDR5X,7467,SSD,1024,13.6,2560x1664,60,IPS,Yes,Windows 11 Home,86,1.33,2024,1,1080p,Wi-Fi 7,5.4,Yes,Yes,88990
Microsoft,Surface Laptop Studio 2,Intel,Core i7-1260P,12,12,16,1.5,4.7,NVIDIA,GeForce RTX 4090,16,16,DDR5,5200,SSD,2048,14.0,1920x1200,60,IPS,Yes,Windows 11 Home,71,1.57,2023,1,1080p,Wi-Fi 7,5.4,Yes,Yes,251990
Samsung,Galaxy Book4 360,Intel,Core Ultra 7 155H,1,16,22,1.4,4.8,Intel,Iris Xe Graphics,0,64,DDR5,5600,NVMe SSD,4096,16.0,2560x1600,165,IPS,Yes,Windows 11 Home,85,2.59,2025,2,720p,Wi-Fi 7,5.4,Yes,No,241990
Dell,G16 7630,AMD,Ryzen 5 8640HS,4,6,12,3.5,4.9,NVIDIA,GeForce RTX 3050,6,32,LPDDR5X,6400,SSD,2048,13.6,2560x1664,60,IPS,No,Windows 11 Home,79,1.36,2023,1,1080p,Wi-Fi 6E,5.3,Yes,Yes,139990
Dell,Inspiron 14 5420,Intel,Core i7-13620H,13,10,16,2.4,4.9,Intel,Arc Graphics,0,16,DDR4,3200,NVMe SSD,1024,15.6,2560x1440,165,IPS,Yes,Windows 11 Home,61,2.52,2023,1,1080p,Wi-Fi 7,5.4,No,Yes,100990
MSI,Modern 14 C12M,Intel,Core Ultra 7 155H,1,16,22,1.4,4.8,Intel,UHD Graphics,0,16,LPDDR5,5200,SSD,512,17.3,1920x1080,144,IPS,Yes,Windows 11 Home,82,2.44,2022,1,720p,Wi-Fi 7,5.4,Yes,Yes,112990
Microsoft,Surface Laptop 5 13.5,Intel,Core i5-13420H,13,8,12,2.1,4.6,Intel,UHD Graphics,0,8,DDR4,3200,NVMe SSD,2048,15.6,1920x1080,60,IPS,No,Windows 11 Home,61,1.39,2024,3,720p,Wi-Fi 6E,5.3,Yes,Yes,76990
HP,Pavilion x360 14-ek1000TU,Intel,Core i9-13900H,13,14,20,1.9,5.4,Intel,UHD Graphics,0,32,LPDDR5X,7467,SSD,1024,15.6,1920x1080,144,IPS,Yes,Windows 11 Home,70,1.49,2025,2,720p,Wi-Fi 6E,5.3,Yes,No,151990
Acer,Nitro 5 AN515-58,AMD,Ryzen 9 7940HS,4,8,16,4.0,5.2,NVIDIA,GeForce RTX 2050,4,32,LPDDR5X,7467,NVMe SSD,1024,14.0,2880x1800,120,OLED,No,Windows 11 Pro,61,2.1,2024,1,1080p,Wi-Fi 7,5.4,Yes,Yes,160990
Acer,Predator Triton Neo 16,AMD,Ryzen 5 7535HS,3,6,12,3.3,4.55,NVIDIA,GeForce RTX 4050,6,32,LPDDR5X,6400,SSD,1024,16.0,1920x1200,60,IPS,No,Windows 11 Home,54,3.07,2025,1,1080p,Wi-Fi 6E,5.3,Yes,Yes,129990
Gigabyte,Aorus 15 BSF,Intel,Core i5-13420H,13,8,12,2.1,4.6,NVIDIA,GeForce RTX 2050,4,8,DDR4,3200,SSD,512,14.0,2880x1800,120,OLED,No,Windows 11 Home,83,2.83,2025,1,1080p,Wi-Fi 6E,5.3,Yes,No,82990
ASUS,Vivobook S14 S3407CA,AMD,Ryzen 7 7730U,3,8,16,2.0,4.5,AMD,Radeon 780M,0,64,DDR5,5600,SSD,512,16.0,1920x1200,60,IPS,Yes,Windows 11 Home,93,2.13,2024,3,720p,Wi-Fi 6E,5.3,No,Yes,159990
ASUS,Vivobook 16 X1605VA,AMD,Ryzen 7 7840HS,4,8,16,3.8,5.1,AMD,Radeon 610M,0,8,DDR5,4800,SSD,512,14.0,2880x1800,120,OLED,Yes,Windows 11 Home,79,1.29,2024,3,1080p,Wi-Fi 6E,5.3,Yes,No,82990
Infinix,InBook X2 Slim,AMD,Ryzen 7 7735HS,3,8,16,3.2,4.75,AMD,Radeon 760M,0,16,DDR5,5200,SSD,256,14.0,1920x1200,60,IPS,Yes,Windows 11 Home,92,1.94,2022,2,1080p,Wi-Fi 6,5.2,Yes,No,70990
Microsoft,Surface Laptop Studio 2,Intel,Core i5-13450HX,13,10,16,2.4,4.6,Intel,UHD Graphics,0,8,DDR4,3200,SSD,256,16.0,2880x1800,120,OLED,Yes,Windows 11 Home,76,2.66,2022,2,1080p,Wi-Fi 6,5.2,Yes,Yes,86990
HP,15s-fq5000TU,Intel,Core i5-1335U,13,10,12,1.3,4.6,NVIDIA,GeForce RTX 5050,8,16,DDR4,3200,SSD,512,17.3,1920x1080,144,IPS,No,Windows 11 Home,99,2.14,2025,1,1080p,Wi-Fi 6E,5.3,Yes,No,110990
Lenovo,Yoga 7 14IRL8,Intel,Core Ultra 9 185H,1,16,22,2.3,5.1,Intel,Arc Graphics,0,16,DDR5,5200,NVMe SSD,4096,14.0,2880x1800,90,OLED,Yes,Windows 11 Home,82,1.5,2022,3,1080p,Wi-Fi 5,5.0,No,Yes,172990
Gigabyte,G5 KF,Intel,Core i7-13700H,13,14,20,2.4,5.0,Intel,UHD Graphics,0,8,DDR4,3200,SSD,512,13.6,2560x1664,60,IPS,No,Windows 11 Home,95,1.09,2023,1,1080p,Wi-Fi 6E,5.3,Yes,No,73990
HP,Victus 16-s0095AX,AMD,Ryzen 5 8640HS,4,6,12,3.5,4.9,NVIDIA,GeForce MX550,2,16,DDR5,5200,SSD,2048,16.0,2560x1600,165,IPS,No,Windows 11 Home,76,2.79,2025,1,1080p,Wi-Fi 7,5.4,Yes,Yes,112990
HP,Victus 15-fa1327TX,Intel,Core i9-13900H,13,14,20,1.9,5.4,NVIDIA,GeForce RTX 4080,12,64,DDR5,5600,SSD,1024,16.0,2880x1800,120,OLED,No,Windows 11 Home,83,2.12,2025,1,1080p,Wi-Fi 6E,5.3,Yes,Yes,345990
MSI,Prestige 14 EVO B13M,Qualcomm,Snapdragon X Elite X1E-80-100,1,12,12,3.4,4.0,Qualcomm,Adreno X1-85,0,24,DDR5,4800,SSD,1024,16.0,2560x1600,165,IPS,Yes,Windows 11 Home,70,2.11,2025,1,1080p,Wi-Fi 6E,5.3,Yes,No,126990
ASUS,Vivobook S15 S5504VA,AMD,Ryzen 7 8845HS,4,8,16,3.8,5.1,AMD,Radeon 740M,0,32,LPDDR5X,7467,SSD,512,14.0,2880x1800,90,OLED,Yes,Windows 11 Home,99,1.85,2024,1,720p,Wi-Fi 6E,5.3,No,No,125990
Gigabyte,G5 KF,Intel,Core Ultra 7 155H,1,16,22,1.4,4.8,Intel,UHD Graphics,0,8,DDR4,3200,NVMe SSD,1024,16.0,2560x1600,120,IPS,No,Windows 11 Home,91,2.01,2024,1,1080p,Wi-Fi 6E,5.3,No,Yes,81990
Microsoft,Surface Laptop Go 3,Intel,Core i7-13700H,13,14,20,2.4,5.0,NVIDIA,GeForce RTX 5060,8,32,LPDDR5X,7467,SSD,1024,16.0,1920x1200,60,IPS,Yes,Windows 11 Home,77,2.28,2024,3,1080p,Wi-Fi 6E,5.3,No,No,203990
Huawei,MateBook X Pro 2023,AMD,Ryzen 5 7530U,3,6,12,2.0,4.5,AMD,Radeon 780M,0,16,LPDDR5,6400,SSD,256,15.6,1920x1080,60,IPS,Yes,Windows 11 Pro,83,1.8,2025,1,1080p,Wi-Fi 6E,5.3,Yes,No,58990
Huawei,MateBook 14 2023,AMD,Ryzen 9 7940HS,4,8,16,4.0,5.2,AMD,Radeon 740M,0,8,DDR5,4800,SSD,512,13.3,1920x1200,60,IPS,No,Windows 11 Home,66,1.22,2025,1,720p,Wi-Fi 7,5.4,Yes,Yes,80990
Microsoft,Surface Laptop 5 15,Intel,Core i5-1335U,13,10,12,1.3,4.6,Intel,Arc Graphics,0,16,DDR4,3200,NVMe SSD,2048,15.6,1920x1080,60,IPS,No,Windows 11 Home,46,1.74,2025,1,1080p,Wi-Fi 6E,5.3,Yes,No,89990
Acer,Aspire 5 A515-57,Intel,Core Ultra 5 125H,1,14,18,1.2,4.5,Intel,Iris Xe Graphics,0,32,DDR5,5600,SSD,512,14.0,2880x1800,90,OLED,No,Windows 11 Home,53,1.77,2025,3,1080p,Wi-Fi 6E,5.3,Yes,Yes,109990
ASUS,ExpertBook P1 P1503CVA,Intel,Core Ultra 7 155H,1,16,22,1.4,4.8,Intel,Iris Xe Graphics,0,16,DDR4,3200,SSD,512,14.0,2880x1800,120,OLED,No,Windows 11 Home,84,2.55,2024,1,1080p,Wi-Fi 7,5.4,Yes,Yes,108990
Gigabyte,Aorus 15 BSF,Intel,Core i9-13900H,13,14,20,1.9,5.4,NVIDIA,GeForce RTX 4090,16,16,LPDDR5,5200,NVMe SSD,4096,14.0,1920x1200,60,IPS,No,Windows 11 Home,76,2.62,2023,3,1080p,Wi-Fi 6,5.2,Yes,No,314990
Razer,Blade 14 2023,Intel,Core i7-13700H,13,14,20,2.4,5.0,NVIDIA,GeForce RTX 4080,12,16,LPDDR5,6400,NVMe SSD,1024,13.6,2560x1664,60,IPS,No,Windows 11 Home,86,1.49,2025,2,1080p,Wi-Fi 6E,5.3,Yes,Yes,211990
LG,Gram 17 2023,Qualcomm,Snapdragon X Plus X1P-64-100,1,10,10,3.4,3.4,Qualcomm,Adreno X1-85,0,64,DDR5,5600,SSD,1024,16.0,1920x1200,60,IPS,No,Windows 11 Home,78,2.12,2025,1,1080p,Wi-Fi 6E,5.3,No,Yes,176990
Gigabyte,G5 KF,AMD,Ryzen 5 7520U,3,4,8,2.8,4.3,AMD,Radeon 740M,0,16,LPDDR5,5200,NVMe SSD,4096,15.6,1920x1080,144,IPS,Yes,Windows 11 Home,68,2.09,2025,1,720p,Wi-Fi 6E,5.3,Yes,No,107990
Dell,Inspiron 14 5420,Intel,Core i9-13900H,13,14,20,1.9,5.4,Intel,Arc Graphics,0,16,DDR5,5200,NVMe SSD,512,14.0,2880x1800,90,OLED,No,Windows 11 Home,45,1.19,2023,1,1080p,Wi-Fi 6,5.2,Yes,Yes,113990
Razer,Blade 16 2024,Intel,Core i5-13420H,13,8,12,2.1,4.6,NVIDIA,GeForce MX550,2,8,DDR4,3200,NVMe SSD,2048,14.0,2880x1800,90,OLED,No,Windows 11 Home,52,1.94,2025,3,720p,Wi-Fi 6E,5.3,Yes,Yes,98990
ASUS,Vivobook 16 X1605VA,Intel,Core i5-1235U,12,10,12,1.3,4.4,Intel,Iris Xe Graphics,0,16,DDR4,3200,SSD,2048,14.0,2880x1800,120,OLED,Yes,Windows 11 Home,74,2.53,2024,1,1080p,Wi-Fi 6E,5.3,Yes,No,97990
Huawei,MateBook 14 2023,Intel,Core i3-1215U,12,6,8,1.2,4.4,Intel,Iris Xe Graphics,0,16,DDR4,3200,NVMe SSD,512,17.3,1920x1080,144,IPS,Yes,Windows 11 Home,78,1.97,2024,1,1080p,Wi-Fi 6E,5.3,Yes,No,68990
HP,15s-fq5000TU,AMD,Ryzen 7 8845HS,4,8,16,3.8,5.1,AMD,Radeon 760M,0,32,LPDDR5X,6400,SSD,1024,16.0,2560x1600,165,IPS,Yes,Windows 11 Home,89,2.78,2025,3,1080p,Wi-Fi 6E,5.3,Yes,Yes,146990
LG,Gram SuperSlim 15,Intel,Core i3-1315U,13,6,8,1.2,4.5,Intel,UHD Graphics,0,16,DDR5,4800,SSD,1024,13.6,2560x1664,60,IPS,Yes,Windows 11 Home,82,1.38,2023,1,1080p,Wi-Fi 6,5.2,No,Yes,67990
Huawei,MateBook D15 2023,Intel,Core i9-13900H,13,14,20,1.9,5.4,Intel,UHD Graphics,0,32,LPDDR5X,6400,NVMe SSD,512,16.0,1920x1200,60,IPS,No,Windows 11 Home,79,2.18,2025,1,1080p,Wi-Fi 6E,5.3,Yes,Yes,129990
Samsung,Galaxy Book3 Pro 360,Qualcomm,Snapdragon X Plus X1P-64-100,1,10,10,3.4,3.4,Qualcomm,Adreno X1-45,0,8,DDR4,3200,NVMe SSD,4096,16.0,2880x1800,120,OLED,Yes,Windows 11 Home,86,1.82,2024,2,1080p,Wi-Fi 6E,5.3,Yes,Yes,137990
Samsung,Galaxy Book3 Pro 360,AMD,Ryzen 3 7320U,3,4,8,2.4,4.1,AMD,Radeon 780M,0,32,LPDDR5X,7467,NVMe SSD,1024,16.0,2560x1600,120,IPS,Yes,Windows 11 Home,92,2.72,2024,1,1080p,Wi-Fi 6E,5.3,No,No,95990
Acer,Swift X 14 SFX14-71G,AMD,Ryzen 5 8640HS,4,6,12,3.5,4.9,NVIDIA,GeForce RTX 5050,8,16,DDR4,3200,SSD,256,15.6,1920x1080,144,IPS,No,Windows 11 Home,71,2.19,2022,1,1080p,Wi-Fi 6E,5.3,Yes,No,112990
Infinix,Zero Book Ultra,Intel,Core Ultra 9 185H,1,16,22,2.3,5.1,Intel,UHD Graphics,0,16,LPDDR5,5200,SSD,512,13.6,2560x1664,60,IPS,No,Windows 11 Home,51,1.36,2024,1,1080p,Wi-Fi 7,5.4,No,Yes,104990
Acer,Swift Go 14 SFG14-41,Intel,Core Ultra 5 125H,1,14,18,1.2,4.5,Intel,Arc Graphics,0,8,DDR5,4800,SSD,2048,15.6,1920x1080,144,IPS,No,Windows 11 Home,80,1.86,2025,3,1080p,Wi-Fi 6E,5.3,Yes,No,81990
Dell,XPS 13 9320,Intel,Core Ultra 7 155H,1,16,22,1.4,4.8,Intel,Arc Graphics,0,16,LPDDR5,6400,SSD,1024,17.3,1920x1080,144,IPS,Yes,Windows 11 Home,95,1.82,2024,1,1080p,Wi-Fi 6E,5.3,Yes,Yes,117990
Infinix,InBook X2 Slim,AMD,Ryzen 5 7530U,3,6,12,2.0,4.5,AMD,Radeon 740M,0,16,DDR5,4800,SSD,512,16.0,1920x1200,60,IPS,No,Windows 11 Home,70,1.77,2024,1,1080p,Wi-Fi 6E,5.3,Yes,No,51990
ASUS,TUF Gaming F15 FX507ZC,Intel,Core i5-13420H,13,8,12,2.1,4.6,NVIDIA,GeForce RTX 2050,4,64,DDR5,5600,SSD,1024,16.0,2880x1800,120,OLED,No,Windows 11 Home,86,2.06,2025,2,1080p,Wi-Fi 6E,5.3,Yes,Yes,186990
Acer,Aspire 5 A515-57,AMD,Ryzen 5 8640HS,4,6,12,3.5,4.9,AMD,Radeon 780M,0,16,LPDDR5,5200,NVMe SSD,512,16.0,2880x1800,120,OLED,Yes,Windows 11 Home,92,2.39,2025,1,1080p,Wi-Fi 6E,5.3,No,No,92990
Gigabyte,G5 KF,Qualcomm,Snapdragon X Plus X1P-64-100,1,10,10,3.4,3.4,Qualcomm,Adreno X1-45,0,16,DDR5,4800,NVMe SSD,2048,15.6,1920x1080,144,IPS,Yes,Windows 11 Home,71,1.73,2024,2,720p,Wi-Fi 6E,5.3,Yes,Yes,101990
Microsoft,Surface Laptop Studio 2,Intel,Core i5-1335U,13,10,12,1.3,4.6,Intel,Iris Xe Graphics,0,8,DDR5,4800,NVMe SSD,512,17.3,1920x1080,144,IPS,No,Windows 11 Home,73,2.16,2023,1,1080p,Wi-Fi 5,5.0,Yes,No,68990
Lenovo,IdeaPad Slim 5 14IRL8,Qualcomm,Snapdragon X Plus X1P-64-100,1,10,10,3.4,3.4,Qualcomm,Adreno X1-45,0,32,LPDDR5X,6400,NVMe SSD,1024,15.6,1920x1080,60,IPS,No,Windows 11 Home,97,2.6,2025,1,1080p,Wi-Fi 7,5.4,Yes,Yes,107990
LG,Gram 16 2023,Intel,Core i9-13900H,13,14,20,1.9,5.4,Intel,Iris Xe Graphics,0,8,DDR5,4800,SSD,512,13.6,2560x1664,60,IPS,No,Windows 11 Home,65,1.29,2025,1,1080p,Wi-Fi 6E,5.3,Yes,No,86990
Dell,Inspiron 15 3520,Qualcomm,Snapdragon X Plus X1P-64-100,1,10,10,3.4,3.4,Qualcomm,Adreno X1-85,0,32,LPDDR5X,7467,SSD,2048,13.6,2560x1664,60,IPS,No,Windows 11 Home,66,1.27,2025,1,1080p,Wi-Fi 7,5.4,No,No,125990
Huawei,MateBook X Pro 2023,AMD,Ryzen 7 7840HS,4,8,16,3.8,5.1,AMD,Radeon 610M,0,32,LPDDR5X,6400,NVMe SSD,2048,15.6,2560x1440,165,IPS,Yes,Windows 11 Home,43,2.57,2023,1,720p,Wi-Fi 6,5.2,Yes,Yes,137990
Samsung,Galaxy Book3 Pro 360,Intel,Core i5-1235U,12,10,12,1.3,4.4,Intel,Arc Graphics,0,32,LPDDR5X,7467,SSD,512,16.0,2560x1600,120,IPS,Yes,Windows 11 Home,73,2.04,2022,1,1080p,Wi-Fi 6,5.2,No,No,102990
HP,255 G9,Intel,Core Ultra 5 125H,1,14,18,1.2,4.5,Intel,Arc Graphics,0,32,LPDDR5X,6400,NVMe SSD,1024,14.0,2880x1800,120,OLED,No,Windows 11 Home,80,2.08,2022,3,1080p,Wi-Fi 5,5.0,Yes,No,135990
HP,Omen 16-wd0000TX,AMD,Ryzen 7 8845HS,4,8,16,3.8,5.1,NVIDIA,GeForce RTX 2050,4,16,DDR5,4800,NVMe SSD,1024,15.6,2560x1440,165,IPS,No,Windows 11 Home,90,1.68,2025,1,1080p,Wi-Fi 7,5.4,Yes,No,119990
Gigabyte,G5 KF,Intel,Core i5-13420H,13,8,12,2.1,4.6,NVIDIA,GeForce RTX 5050,8,16,LPDDR5,5200,SSD,512,16.0,2880x1800,120,OLED,Yes,Windows 11 Home,75,1.75,2022,2,1080p,Wi-Fi 5,5.0,Yes,No,134990
Dell,G15 5525,AMD,Ryzen 7 7735HS,3,8,16,3.2,4.75,NVIDIA,GeForce RTX 5050,8,16,LPDDR5,6400,NVMe SSD,4096,15.6,1920x1080,144,IPS,No,Windows 11 Home,55,2.12,2022,1,1080p,Wi-Fi 6,5.2,Yes,Yes,163990
Razer,Blade 16 2024,AMD,Ryzen 5 8640HS,4,6,12,3.5,4.9,NVIDIA,GeForce RTX 4050,6,8,DDR5,4800,NVMe SSD,2048,14.0,2880x1800,120,OLED,No,Windows 11 Home,75,2.34,2024,3,720p,Wi-Fi 6E,5.3,Yes,No,128990
HP,Victus 15-fa1327TX,AMD,Ryzen 7 7840HS,4,8,16,3.8,5.1,NVIDIA,GeForce RTX 5070,8,24,DDR5,4800,SSD,512,16.0,2880x1800,120,OLED,No,Windows 11 Home,72,3.03,2024,1,1080p,Wi-Fi 6E,5.3,Yes,Yes,195990
Apple,MacBook Pro M3 Pro 14,Apple,M3,3,8,8,4.05,4.05,Apple,Apple M3 10-core,0,16,LPDDR5,6400,SSD,2048,13.6,2560x1664,60,IPS,No,macOS Sequoia,70,1.14,2022,1,1080p,Wi-Fi 6E,5.3,Yes,Yes,187550
ASUS,ExpertBook P1 P1503CVA,Intel,Core Ultra 5 125H,1,14,18,1.2,4.5,Intel,Arc Graphics,0,16,DDR5,5200,SSD,256,15.6,2560x1440,165,IPS,Yes,Windows 11 Home,85,2.12,2025,1,720p,Wi-Fi 6E,5.3,Yes,No,81990
Microsoft,Surface Laptop Studio 2,Intel,Core i5-13420H,13,8,12,2.1,4.6,Intel,UHD Graphics,0,16,DDR5,5200,SSD,2048,16.0,2560x1600,120,IPS,Yes,Windows 11 Home,81,2.21,2023,1,1080p,Wi-Fi 7,5.4,Yes,Yes,103990
MSI,Raider GE78 HX 13VH,Intel,Core i9-13900H,13,14,20,1.9,5.4,NVIDIA,GeForce RTX 4050,6,32,LPDDR5X,6400,NVMe SSD,2048,16.0,1920x1200,60,IPS,No,Windows 11 Home,85,2.84,2023,2,720p,Wi-Fi 6E,5.3,Yes,No,199990
Lenovo,Yoga Slim 7 Pro X,Intel,Core Ultra 5 125H,1,14,18,1.2,4.5,Intel,Arc Graphics,0,16,LPDDR5,5200,SSD,512,16.0,2880x1800,120,OLED,Yes,Windows 11 Pro,70,2.49,2025,1,1080p,Wi-Fi 7,5.4,Yes,No,103990
MSI,Stealth 14 Studio A13VE,Intel,Core i7-1260P,12,12,16,1.5,4.7,Intel,Iris Xe Graphics,0,16,DDR5,4800,NVMe SSD,1024,16.0,1920x1200,60,IPS,No,Windows 11 Home,91,2.51,2025,2,720p,Wi-Fi 6E,5.3,Yes,Yes,86990
Razer,Blade 14 2023,Intel,Core i7-13620H,13,10,16,2.4,4.9,NVIDIA,GeForce RTX 4090,16,16,DDR4,3200,NVMe SSD,2048,15.6,2560x1440,165,IPS,No,Windows 11 Home,74,2.23,2025,3,1080p,Wi-Fi 7,5.4,Yes,No,273990
Razer,Blade 16 2024,Intel,Core i7-13700H,13,14,20,2.4,5.0,NVIDIA,GeForce RTX 4070,8,8,DDR4,3200,NVMe SSD,1024,16.0,1920x1200,60,IPS,No,Windows 11 Home,89,2.94,2025,1,1080p,Wi-Fi 7,5.4,Yes,Yes,153990
ASUS,ROG Strix G16 G614JV,AMD,Ryzen 5 7535HS,3,6,12,3.3,4.55,NVIDIA,GeForce MX550,2,16,DDR5,5200,NVMe SSD,4096,13.6,2560x1664,60,IPS,No,Windows 11 Home,69,1.59,2024,1,720p,Wi-Fi 7,5.4,Yes,No,119990
Infinix,Zero Book Ultra,AMD,Ryzen 5 7520U,3,4,8,2.8,4.3,AMD,Radeon 610M,0,24,DDR5,4800,SSD,2048,15.6,2560x1440,165,IPS,Yes,Windows 11 Home,89,2.14,2023,1,1080p,Wi-Fi 6,5.2,Yes,Yes,93990
